,det,DF,Donor1_Serum,Donor2_Serum,Donor3_Serum,Donor4_Serum,Donor4_Plasma_EDTA,Donor5_Serum,Donor5_Plasma_Heparin,Donor6_Serum,Donor6_Plasma_Heparin,Donor6_Plasma_EDTA
SARS2_N_NTD,IgG,3200,88.5,377,294,656,678,455,379.5,108.5,117.5,116
SARS2_N_NTD,IgG,6400,59,206,164,355,369,257,242,75,74,73.5
SARS2_N_NTD,IgG,12800,46,125.5,97.5,207,198.5,145,144,52,56,59
229E_N_NTD,IgG,100,593.5,4773,3782,8144,8185.5,10607.5,10824,3694,3567,3812
229E_N_NTD,IgG,200,321,2946,2361.5,5119.5,5117,7471,7506,2237,1995,2293
229E_N_NTD,IgG,400,179,1699.5,1317.5,3017,3185,4722,4461.5,1287,1089,1303
229E_N_NTD,IgG,800,110,926,701.5,1708.5,1781,2889,2535,765,586,722
229E_N_NTD,IgG,1600,67,519,372,969,993,1664,1448,427.5,316,419
229E_N_NTD,IgG,3200,47.5,274,223,514,512.5,941.5,823,239,203,221
229E_N_NTD,IgG,6400,32,148,125,281.5,274,501,480,123.5,124.5,132
229E_N_NTD,IgG,12800,27.5,87,69,151,163,280.5,256.5,75,78.5,76
HKU1_N_NTD,IgG,100,2569.5,6485,5853,11685,11835,13038,12269,10221,9138,10095
HKU1_N_NTD,IgG,200,1452,3630.5,3537.5,6933,7153.5,8218,7889,6010,5551,6132
HKU1_N_NTD,IgG,400,790,1983,1925,4035,4135.5,4751.5,4699,3289,3144,3234.5
HKU1_N_NTD,IgG,800,431,1106.5,1035,2226,2219,2742,2587,1807,1694.5,1789
HKU1_N_NTD,IgG,1600,234.5,582,544,1197.5,1225,1503,1397,926,903,943
HKU1_N_NTD,IgG,3200,134,304,303.5,618,654,838,764.5,516,500,494
HKU1_N_NTD,IgG,6400,78.5,167,170.5,331.5,335,430.5,416,270,278,267
HKU1_N_NTD,IgG,12800,51,94,91,177,180,229,233,150.5,157.5,152
SARS2_N,IgG,100,20549,12911,9330,5506,5839,37827,38099,7630,9094,7812
SARS2_N,IgG,200,13291.5,8162.5,5997.5,3302,3544,30328,29927,4671.5,5435,4744
SARS2_N,IgG,400,8184.5,5007.5,3471,1984,2034,22132,21399.5,2598,3098,2675
SARS2_N,IgG,800,4922.5,2831,1973,1152,1178,14794,14019,1593.5,1786,1576
SARS2_N,IgG,1600,2663.5,1534,1059,670,688,9094,8702,930.5,1044,928
SARS2_N,IgG,3200,1395,825,589.5,384,393,5420.5,5338.5,526,582,506
SARS2_N,IgG,6400,747,427.5,320.5,227,236,3075,2882,304,318,311
SARS2_N,IgG,12800,417.5,241,183,142,149.5,1646.5,1571.5,194,196,184
